Country Name,Country Code,Indicator Name,Indicator Code,2012,2013,2014,2015,2016,2017,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belize,BLZ,GDP (current US$),NY.GDP.MKTP.CD,1522899790,1579413515,1662802599,1723785357,1775100179,1836593466,1871203164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bermuda,BMU,GDP (current US$),NY.GDP.MKTP.CD,5537537000,5573710000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,GDP (current US$),NY.GDP.MKTP.CD,27084497540,30659338784,32996188133,33000198263,33941126194,37508642258,40287647757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,BRA,GDP (current US$),NY.GDP.MKTP.CD,2.46519E+12,2.47281E+12,2.45599E+12,1.80221E+12,1.7957E+12,2.06283E+12,1.88548E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbados,BRB,GDP (current US$),NY.GDP.MKTP.CD,4610096000,4677248300,4696344350,4725500000,4840500000,4989500000,5145000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei Darussalam,BRN,GDP (current US$),NY.GDP.MKTP.CD,19048495519,18093829923,17098342541,12930394938,11400854268,12128104859,13567351175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,BTN,GDP (current US$),NY.GDP.MKTP.CD,1781281281,1756215666,1907090813,2003598213,2158972128,2450364929,2446674101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Botswana,BWA,GDP (current US$),NY.GDP.MKTP.CD,16067155187,14901750765,16250750259,14420604206,15646316818,17405538618,18616018903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,CAF,GDP (current US$),NY.GDP.MKTP.CD,2510270268,1691063477,1892292912,1695143880,1823779165,2067230996,2219894702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,CAN,GDP (current US$),NY.GDP.MKTP.CD,1.82397E+12,1.84202E+12,1.80148E+12,1.5529E+12,1.52671E+12,1.64687E+12,1.71334E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Europe and the Baltics,CEB,GDP (current US$),NY.GDP.MKTP.CD,1.35267E+12,1.42273E+12,1.46559E+12,1.28964E+12,1.317E+12,1.45718E+12,1.63291E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,CHE,GDP (current US$),NY.GDP.MKTP.CD,6.68043E+11,6.88504E+11,7.09182E+11,6.79832E+11,6.71309E+11,6.79951E+11,7.0514E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel Islands,CHI,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,GDP (current US$),NY.GDP.MKTP.CD,2.67122E+11,2.78384E+11,2.60542E+11,2.43919E+11,2.5034E+11,2.77746E+11,2.98231E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,CHN,GDP (current US$),NY.GDP.MKTP.CD,8.53223E+12,9.57041E+12,1.04385E+13,1.10155E+13,1.11379E+13,1.21435E+13,1.36082E+13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
